1,درجه یک فاضلابی داخلی
198,None
199,None
200,None
201,None
202,None
203,None
204,None
205,None
206,None
207,None
208,None
209,None
210,None
211,None
212,None
213,None
214,None
215,None
216,None
217,None
218,None
219,None
220,None
221,None
222,None
223,None
224,None
225,None
226,None
227,None
228,None
229,None
230,None
231,None
232,None
233,None
234,None
235,None
236,None
237,None
238,None
239,None
240,None
241,None
242,None
243,None
244,None
245,None
246,None
247,None
248,None
249,None
250,None
251,None
252,None
253,None
254,None
255,None
256,None
257,None
258,None
259,None
260,None
261,None
262,None
263,None
264,None
265,None
266,None
267,None
268,None
269,None
270,None
271,None
272,None
273,None
274,None
275,None
276,None
277,None
278,None
279,None
280,None
281,None
282,None
283,None
284,None
285,None
286,None
287,None
288,None
289,None
290,None
291,None
292,None
293,None
294,None
295,None
296,None
297,None
298,None
299,None
300,None
301,None
302,None
303,None
304,None
305,None
306,None
307,None
308,None
309,None
310,None
311,None
312,None
313,None
314,None
315,None
316,None
317,None
318,None
319,None
320,None
321,None
322,None
323,None
324,None
325,None
326,None
327,None
328,None
329,None
330,None
331,None
332,None
333,None
334,None
335,None
336,None
337,None
338,None
339,None
340,None
341,None
342,None
343,None
344,None
345,None
346,None
347,None
348,None
349,None
350,None
351,None
352,None
353,None
354,None
355,None
356,None
357,None
358,None
359,None
360,None
361,None
362,None
363,None
364,None
365,None
366,None
16,None
367,None
368,None
369,None
370,None
371,None
372,None
373,None
374,None
375,None
376,None
377,None
378,None
379,None
380,None
381,None
382,None
383,None
384,None
385,None
386,None
387,None
388,None
389,None
390,None
391,None
392,None
393,None
394,None
3,درجه دو فاضلابی عراقی
4,آبرسانی
6,استخری
5,هواکشی
7,لوله برقی درجه یک
8,لوله برقی درجه دو
9,لوله برقی درجه سه
10,دو لایه درجه یک
11,دولایه درجه دو
12,سه لایه درجه یک
14,اتصالات فاضلابی داخلی
15,اتصالات برقی داخلی
13,سه لایه درجه دو عراقی
395,None
396,None
397,None
400,None
398,None
399,None
401,None
402,None
403,None
404,None
405,None
406,None
407,None
408,None
409,None
410,None
411,None
412,None
413,None
414,None
415,None
416,None
417,None
418,None
419,None
420,None
421,None
422,None
423,None
424,None
425,None
426,None
427,None
428,None
429,None
430,None
431,None
432,None
433,None
434,None
435,None
436,None
437,None
438,None
439,None
440,None
441,None
442,None
443,None
444,None
445,None
446,None
447,None
448,None
449,None
450,None
451,None
452,None
453,None
454,None
455,None
456,None
457,None
458,None
459,None
460,None
461,None
462,None
463,None
464,None
465,None
466,None
467,None
468,None
469,None
470,None
471,None
472,None
473,None
474,None
475,None
476,None
477,None
478,None
479,None
480,None
481,None
482,None
483,None
484,None
485,None
486,None
487,None
488,None
489,None
2,درجه یک فاضلابی عراقی 
490,اتصالات فاضلابی عراقی
491,اتصالات برقی عراقی
492,None
493,None
494,None
495,None
496,None
497,None
498,None
499,None
500,None
501,None
502,None
503,None
504,None
505,None
506,None
507,None
508,None
509,None
510,None
511,None
512,None
513,None
514,None
515,None
516,None
517,None
518,None
519,None
520,None
521,لوله برقی درجه یک عراق
522,لوله برقی درجه دو عراق
